risk_id,source_finding_ids,asset,threat,control_weakness,business_consequence,inherent_likelihood_1_5,inherent_impact_1_5,inherent_score,sle_low_usd,sle_high_usd,aro_low,aro_high,ale_low_usd,ale_high_usd,treatment,owner,target_date,cost_usd,residual_likelihood_1_5,residual_impact_1_5,residual_score,acceptance_authority,review_trigger,decision
R-001,VF-001,edge-lab-07,Unsupported web component,isolated test subnet,None live -- isolated ephemeral test asset with a critical unpatched component; no production data at risk.,5,1,5,200.0,1250.0,0.475,1.71,95.0,2137.5,Deferred: retire asset (not selected -- see treatment-selection-result.json),Infrastructure Lead,2026-08-15,0,5,1,5,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
R-002,VF-002,payroll-api-01,Broken object authorization,WAF and authentication,Cross-tenant payroll data read possible; direct regulatory and contractual exposure for a crown-jewel API.,2,1,2,120800.0,755000.0,0.15,0.54,18120.0,407700.0,Deferred: enforce server-side object authorization (not selected -- see treatment-selection-result.json),Engineering Director,2026-09-01,0,2,1,2,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
R-003,VF-003,vpn-gw-01,Outdated VPN appliance,MFA and geo alerting,Remote-access gateway compromise could grant broad internal network access; high blast radius.,2,1,2,37400.0,233750.0,0.2,0.72,7480.0,168300.0,Deferred: upgrade firmware (not selected -- see treatment-selection-result.json),Infrastructure Lead,2026-08-20,0,2,1,2,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
R-004,VF-004,files-01,SMB signing not required,segmented server VLAN,"920,000 customer attachment records exposed if SMB signing is bypassed via a legacy-client downgrade attack.",1,5,5,1876000.0,11725000.0,0.075,0.27,140700.0,3165750.0,require signing and test legacy clients,Engineering Director,2026-09-01,6000.0,1,1,1,"Budget owner (treatment funded within $75,000 cycle budget)",Verify via post-remediation service acceptance test and re-scan,treat (funded this cycle)
R-005,VF-005,helpdesk-02,Local administrator password reused,EDR installed,Reused local admin password enables lateral movement from a single compromised workstation.,3,1,3,4400.0,27500.0,0.275,0.99,1210.0,27225.0,Deferred: deploy unique managed local passwords (not selected -- see treatment-selection-result.json),Head of IT,2026-08-15,0,3,1,3,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
R-006,VF-006,backup-01,Management interface accessible from user VLAN,password authentication,Backup coordinator management interface reachable from user VLAN risks backup integrity/availability org-wide.,2,5,10,1944000.0,12150000.0,0.15,0.54,291600.0,6561000.0,restrict to management VLAN and MFA,Infrastructure Lead,2026-09-01,6000.0,1,1,1,"Budget owner (treatment funded within $75,000 cycle budget)",Verify via post-remediation service acceptance test and re-scan,treat (funded this cycle)
R-007,VF-007,marketing-old,Remote code execution,no DNS and egress blocked,"Retired, quarantined asset; critical CVE but no live exposure pending evidence-hold destruction.",5,1,5,200.0,1250.0,0.475,1.71,95.0,2137.5,Deferred: destroy retained instance after evidence hold (not selected -- see treatment-selection-result.json),Infrastructure Lead,2026-08-15,0,5,1,5,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
R-008,VF-008,idp-01,Admin session timeout exceeds policy,phishing-resistant MFA,Excess privileged session lifetime on the identity provider widens the window for session-hijack abuse.,1,1,1,198800.0,1242500.0,0.075,0.27,14910.0,335475.0,Deferred: reduce privileged session lifetime (not selected -- see treatment-selection-result.json),Head of IT,2026-09-15,0,1,1,1,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
R-009,VF-009,dev-git-01,Inactive deploy key remains valid,branch protection,Stale deploy key on the source repository is a standing unauthorized-push risk if the key leaks.,3,1,3,43400.0,271250.0,0.275,0.99,11935.0,268537.5,Deferred: revoke and establish owner/expiry control (not selected -- see treatment-selection-result.json),Engineering Director,2026-08-20,0,3,1,3,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
R-010,VF-010,dns-01,Recursion available to guest VLAN,rate limiting,Open DNS recursion to the guest VLAN enables reconnaissance and potential DNS amplification abuse.,2,1,2,17000.0,106250.0,0.15,0.54,2550.0,57375.0,Deferred: restrict recursion ACL (not selected -- see treatment-selection-result.json),Infrastructure Lead,2026-08-20,0,2,1,2,"Risk owner (accepted, not budget owner -- no spend authorized)",Re-evaluate at next quarterly risk register review or if exploit evidence changes,accept (not funded this cycle -- lower mean_reduction/cost priority)
